11.0435 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2800, 900]. Using actual size
11.1761 	WARNING 	Framebuffer object (FBO) not supported on this graphics card
12.0546 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x4df4e60>, name='window1', pos=None, screen=0, size=array([2800,  900]), stereo=False, units=u'norm', useFBO=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pygame')
12.0547 	EXP 	window1: recordFrameIntervals = False
12.2182 	EXP 	window1: recordFrameIntervals = True
12.4020 	EXP 	window1: recordFrameIntervals = False
12.4507 	EXP 	Created text_ask_for_version = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_ask_for_version', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.4510 	EXP 	Set  sound=stim/audio_40Hz_L.wav
12.4513 	EXP 	Set  sound=stim/audio_55Hz_L.wav
12.4515 	EXP 	Set  sound=stim/audio_40Hz_R.wav
12.4518 	EXP 	Set  sound=stim/audio_55Hz_R.wav
12.4518 	EXP 	Set Sound  volume=1.000
12.4518 	EXP 	Set Sound  volume=1.000
12.4518 	EXP 	Set Sound  volume=1.000
12.4518 	EXP 	Set Sound  volume=1.000
12.4553 	EXP 	Created select_eeg_system = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='select_eeg_system', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.4581 	EXP 	Created instr_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instr_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.4602 	EXP 	Created end_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='end_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'This was the end - Thank you!', units=u'norm', win=Window(...), wrapWidth=1)
12.4649 	EXP 	text_ask_for_version: autoDraw = True
14.4039 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'0', units=u'norm', win=Window(...), wrapWidth=1)
14.4154 	EXP 	text_ask_for_version: autoDraw = False
14.4154 	EXP 	select_eeg_system: autoDraw = True
15.0338 	EXP 	select_eeg_system: autoDraw = False
15.0338 	EXP 	instr_text: autoDraw = True
16.1853 	EXP 	Created unnamed PatchStim = PatchStim(autoDraw=False, autoLog=True, color=array([-0.25, -0.25, -0.25]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='circle', maskParams=None, name='unnamed PatchStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.12,  0.12]), tex=None, texRes=128, units=u'norm', win=Window(...))
