8.4758 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x04F88B98>, name='window1', pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.4759 	EXP 	window1: recordFrameIntervals = False
8.7874 	EXP 	window1: recordFrameIntervals = True
9.1321 	EXP 	window1: recordFrameIntervals = False
9.3306 	EXP 	Created text_ask_for_version = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_ask_for_version', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.5453 	EXP 	Set  sound=stim/audio_40Hz_L.wav
9.5459 	EXP 	Set  sound=stim/audio_55Hz_L.wav
9.5464 	EXP 	Set  sound=stim/audio_40Hz_R.wav
9.5470 	EXP 	Set  sound=stim/audio_55Hz_R.wav
9.5471 	EXP 	Set Sound  volume=1.000
9.5471 	EXP 	Set Sound  volume=1.000
9.5471 	EXP 	Set Sound  volume=1.000
9.5471 	EXP 	Set Sound  volume=1.000
9.6081 	EXP 	Created select_eeg_system = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='select_eeg_system', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.6346 	EXP 	Created instr_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instr_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.6480 	EXP 	Created end_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='end_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'This was the end - Thank you!', units=u'norm', win=Window(...), wrapWidth=1)
9.6666 	EXP 	text_ask_for_version: autoDraw = True
10.3124 	DATA 	Keypress: 1
10.3197 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'0', units=u'norm', win=Window(...), wrapWidth=1)
10.3287 	EXP 	text_ask_for_version: autoDraw = False
10.3287 	EXP 	select_eeg_system: autoDraw = True
11.1673 	DATA 	Keypress: 2
11.1839 	EXP 	select_eeg_system: autoDraw = False
11.1839 	EXP 	instr_text: autoDraw = True
11.8568 	DATA 	Keypress: space
11.9813 	EXP 	Created unnamed PatchStim = PatchStim(autoDraw=False, autoLog=True, color=array([-0.25, -0.25, -0.25]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='circle', maskParams=None, name='unnamed PatchStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.12,  0.12]), tex=None, texRes=128, units=u'norm', win=Window(...))
12.0053 	EXP 	instr_text: autoDraw = False
13.0223 	EXP 	text_4: text = '1'
13.0223 	EXP 	text_4: text = u'1'
14.0222 	EXP 	text_4: text = '2'
14.0222 	EXP 	text_4: text = u'2'
15.0226 	EXP 	text_4: text = '3'
15.0226 	EXP 	text_4: text = u'3'
16.0398 	EXP 	text_4: text = '4'
16.0398 	EXP 	text_4: text = u'4'
17.0229 	EXP 	text_4: text = '5'
17.0229 	EXP 	text_4: text = u'5'
18.0402 	EXP 	text_4: text = '4'
18.0402 	EXP 	text_4: text = u'4'
19.0405 	EXP 	text_4: text = '3'
19.0405 	EXP 	text_4: text = u'3'
20.0408 	EXP 	text_4: text = '2'
20.0408 	EXP 	text_4: text = u'2'
21.0244 	EXP 	text_4: text = '1'
21.0244 	EXP 	text_4: text = u'1'
21.9834 	EXP 	Sound  started
22.0252 	EXP 	text_4: text = '0'
22.0252 	EXP 	text_4: text = u'0'
23.0422 	EXP 	text_4: text = '9'
23.0422 	EXP 	text_4: text = u'9'
23.1859 	EXP 	Sound  started
24.0254 	EXP 	text_4: text = '8'
24.0254 	EXP 	text_4: text = u'8'
24.3885 	EXP 	Sound  started
25.0253 	EXP 	text_4: text = '7'
25.0253 	EXP 	text_4: text = u'7'
25.5913 	EXP 	Sound  started
26.0253 	EXP 	text_4: text = '6'
26.0253 	EXP 	text_4: text = u'6'
26.7942 	EXP 	Sound  started
27.0423 	EXP 	text_4: text = '5'
27.0423 	EXP 	text_4: text = u'5'
27.9973 	EXP 	Sound  started
28.0423 	EXP 	text_4: text = '4'
28.0423 	EXP 	text_4: text = u'4'
29.0430 	EXP 	text_4: text = '5'
29.0430 	EXP 	text_4: text = u'5'
29.2007 	EXP 	Sound  started
30.1119 	EXP 	text_4: text = '6'
30.1119 	EXP 	text_4: text = u'6'
30.4037 	EXP 	Sound  started
31.0802 	EXP 	text_4: text = '7'
31.0802 	EXP 	text_4: text = u'7'
31.6065 	EXP 	Sound  started
32.1660 	EXP 	text_4: text = '8'
32.1660 	EXP 	text_4: text = u'8'
33.1170 	EXP 	text_4: text = '9'
33.1170 	EXP 	text_4: text = u'9'
34.0854 	EXP 	text_4: text = '0'
34.0854 	EXP 	text_4: text = u'0'
35.1702 	EXP 	text_4: text = '1'
35.1702 	EXP 	text_4: text = u'1'
36.1219 	EXP 	text_4: text = '2'
36.1219 	EXP 	text_4: text = u'2'
37.0909 	EXP 	text_4: text = '3'
37.0909 	EXP 	text_4: text = u'3'
38.0436 	EXP 	text_4: text = '4'
38.0436 	EXP 	text_4: text = u'4'
39.1310 	EXP 	text_4: text = '3'
39.1310 	EXP 	text_4: text = u'3'
40.1169 	EXP 	text_4: text = '2'
40.1169 	EXP 	text_4: text = u'2'
41.0514 	EXP 	text_4: text = '1'
41.0514 	EXP 	text_4: text = u'1'
41.9837 	EXP 	Sound  started
42.1384 	EXP 	text_4: text = '0'
42.1384 	EXP 	text_4: text = u'0'
43.1229 	EXP 	text_4: text = '9'
43.1229 	EXP 	text_4: text = u'9'
43.1868 	EXP 	Sound  started
43.7708 	DATA 	Keypress: escape
